unnamed_0,dbn,district,school_name,school,principal,progress_report_type,school_type,peerindex,overallgrade,overallscore2012,overallpercentile2012,progressscore2012,progressgrade2012,performancescore2012,performancegrade2012,environmentscore2012,environmentgrade2012,additionalcredit2012,201011_progress_report_grade,200910_progress_report_grade,parentresponserate,teacherresponserate,studentresponserate,safetyscore,communicationscore,engagementscore,expectationsscore
507,12X318,12,"I.S. X318 Math, Science & Technology Through Arts","I.S. X318 Math, Science & Technology Through Art",Maria Lopez,EMS,Middle School,2.16,C,39.8,15.2,18.3,D,11.3,C,6.5,C,3.6,B,C,0.77,1,0.95,7.2,7,7.2,7.6
508,12X341,12,Accion Academy,Accion Academy,Nikole Booker,EMS,Middle School,2.03,A,69.1,80.4,39.7,A,17.1,A,7.3,C,5,C,A,0.71,1,0.96,7.4,7,7.4,7.7
509,12X372,12,Urban Assembly School For Wildlife Conservation,Urban Assembly School for Wildlife Conservation,Mark Ossenheimer,EMS,Middle/High School,2.39,A,70.1,82.3,44.4,A,14.8,B,7.8,B,3.1,D,C,0.42,1,0.92,7.4,7.1,7.1,7.6
510,12X372,12,Urban Assembly School For Wildlife Conservation,Urban Assembly School for Wildlife Conservation,Mark Ossenheimer,HS,Middle/High School,1.95,,,,,,,,,,,,,0.42,1,0.92,7.4,7.1,7.1,7.6
511,12X383,12,Emolior Academy,Emolior Academy,Derick Spaulding,EMS,Middle School,2.11,C,41.8,17.7,15.9,D,10.8,C,11.9,A,3.2,C,B,0.78,0.71,0.85,8.5,8.6,8.5,8.6
512,12X384,12,Entrada Academy,Entrada Academy,Socorro Diaz,EMS,Middle School,2.28,C,45.1,24.6,22.9,C,9.4,C,8.9,B,3.9,C,A,0.67,0.6,0.99,7.1,6.8,7.5,7.7
513,12X463,12,Urban Scholars Community School,URBAN SCHOLARS COMMUNITY SCHOOL,Debra Clarke-Jones,EMS,Elementary School,67,D,32,5.9,15.4,D,4.6,F,9.5,B,2.5,F,.,0.54,0.7,,7.9,8,8.1,8.3
514,12X691,12,Bronx Little School,Bronx Little School,Janice Gordon,EMS,Elementary School,56.5,B,53.4,49,32.7,B,10.8,C,6.5,C,3.4,A,C,0.5,0.57,,8.2,7.5,7.6,7.7
515,13K003,13,P.S. 003 The Bedford Village,P.S. 003 The Bedford Village,Kristina Beecher,EMS,Elementary School,55.39,C,42.4,20.2,20.4,D,11.6,C,9.1,B,1.2,C,C,0.75,0.95,,8.4,8.2,8.3,8.5
516,13K008,13,P.S. 008 Robert Fulton,P.S. 008 Robert Fulton,Seth Phillips,EMS,Elementary School,16.95,B,52.5,46.2,26.5,C,15.8,B,8.3,B,1.9,C,C,0.53,0.93,,8.5,7.6,8,8.2
